sgrna_id	Gene	library0	R0_0	R1_0
0	neutral_0	213	203	187
1	neutral_0	123	48	167
2	neutral_0	534	701	513
3	neutral_0	241	212	334
4	neutral_1	342	370	348
5	neutral_1	115	157	113
6	neutral_1	204	270	181
7	neutral_1	481	566	480
8	essential_0	63	14	15
9	neutral_2	161	144	218
10	neutral_2	151	199	198
11	neutral_2	173	78	123
12	neutral_2	368	398	309
13	neutral_3	708	759	844
14	growthsupressing_0	185	1825	1608
15	neutral_3	164	129	161
16	neutral_3	1005	936	967
17	neutral_3	638	531	579
18	neutral_4	74	40	30
19	growthsupressing_0	126	760	827
20	neutral_4	221	316	242
21	neutral_4	94	43	94
22	neutral_4	244	259	309
23	neutral_5	950	1016	1143
24	essential_0	111	46	30
25	neutral_5	464	378	450
26	neutral_5	420	430	504
27	neutral_5	382	247	487
28	neutral_6	173	184	156
29	neutral_6	507	381	480
30	essential_0	922	302	315
31	neutral_6	2466	2347	2483
32	neutral_6	405	347	479
33	neutral_7	210	242	203
34	neutral_7	164	156	271
35	neutral_7	423	352	363
36	neutral_7	136	188	163
37	neutral_8	386	509	380
38	neutral_8	540	455	711
39	neutral_8	170	161	192
40	neutral_8	101	108	88
41	essential_0	55	32	46
42	essential_1	263	24	21
43	neutral_9	1039	1235	1198
44	neutral_9	271	271	290
45	neutral_9	227	259	274
46	neutral_9	161	153	265
47	neutral_10	223	164	272
48	neutral_10	312	259	255
49	neutral_10	153	170	236
50	neutral_10	244	203	183
51	essential_1	242	74	118
52	neutral_11	212	233	243
53	neutral_11	270	232	357
54	neutral_11	822	795	934
55	neutral_11	188	221	194
56	neutral_12	264	285	228
57	neutral_12	336	347	249
58	neutral_12	508	677	366
59	neutral_12	268	320	262
60	neutral_13	460	388	402
61	essential_1	408	84	67
62	neutral_13	240	250	179
63	neutral_13	108	106	65
64	essential_1	207	138	125
65	essential_2	74	11	9
66	neutral_13	168	200	148
67	neutral_14	289	342	363
68	neutral_14	563	590	739
69	neutral_14	390	393	463
70	neutral_14	130	201	88
71	neutral_15	2582	2421	2385
72	neutral_15	89	78	106
73	neutral_15	415	499	411
74	neutral_15	91	57	118
75	essential_2	640	236	344
76	neutral_16	1762	1728	1885
77	neutral_16	299	395	317
78	neutral_16	1432	1449	1392
79	neutral_16	179	171	164
80	neutral_17	218	162	247
81	essential_2	481	176	168
82	neutral_17	314	293	329
83	neutral_17	428	525	390
84	neutral_17	65	93	92
85	neutral_18	181	197	151
86	neutral_18	863	894	732
87	neutral_18	664	613	543
88	neutral_18	224	238	249
89	neutral_19	249	313	273
90	neutral_19	122	78	128
91	neutral_19	1007	1079	952
92	essential_2	546	617	492
93	neutral_19	93	77	205
94	neutral_20	290	260	277
95	neutral_20	283	140	276
96	essential_3	128	18	7
97	neutral_20	435	460	402
98	neutral_20	110	95	74
99	neutral_21	121	151	144
100	essential_3	78	2	6
101	essential_3	137	91	60
102	neutral_21	427	385	350
103	neutral_21	1182	1213	1164
104	neutral_21	681	746	864
105	essential_3	269	143	80
106	neutral_22	390	396	283
107	neutral_22	170	183	143
108	neutral_22	248	218	165
109	neutral_22	435	432	388
110	neutral_23	254	196	264
111	neutral_23	151	200	263
112	neutral_23	653	715	597
113	neutral_23	200	286	215
114	neutral_24	50	76	16
115	neutral_24	296	302	265
116	neutral_24	267	343	305
117	neutral_24	123	161	83
118	neutral_25	332	331	347
119	neutral_25	479	491	541
120	neutral_25	196	179	197
121	neutral_25	164	118	153
122	essential_4	215	91	37
123	neutral_26	137	135	110
124	neutral_26	154	130	158
125	neutral_26	1131	1211	1322
126	neutral_26	106	109	134
127	neutral_27	885	825	944
128	neutral_27	530	465	549
129	neutral_27	666	770	777
130	essential_4	382	322	196
131	neutral_27	328	274	258
132	neutral_28	537	525	496
133	neutral_28	294	249	319
134	neutral_28	131	191	176
135	neutral_28	468	547	535
136	essential_4	248	111	76
137	neutral_29	301	307	433
138	neutral_29	1742	1574	1599
139	neutral_29	231	268	197
140	neutral_29	172	182	136
141	neutral_30	195	129	201
142	neutral_30	350	367	270
143	neutral_30	195	195	277
144	neutral_30	44	20	13
145	neutral_31	634	740	656
146	neutral_31	591	447	617
147	essential_4	401	72	104
148	neutral_31	546	434	562
149	neutral_31	169	188	139
150	neutral_32	372	391	508
151	neutral_32	273	263	215
152	essential_5	727	607	793
153	neutral_32	562	557	635
154	neutral_32	369	340	385
155	neutral_33	86	122	81
156	neutral_33	72	70	93
157	neutral_33	1305	1213	1341
158	essential_5	205	48	94
159	neutral_33	286	267	222
160	neutral_34	562	645	577
161	essential_5	272	34	12
162	neutral_34	127	142	144
163	neutral_34	287	264	332
164	neutral_34	117	93	110
165	neutral_35	85	74	59
166	neutral_35	333	334	386
167	neutral_35	266	205	243
168	neutral_35	646	676	740
169	neutral_36	1689	1666	1589
170	neutral_36	602	505	727
171	essential_5	224	90	41
172	neutral_36	199	212	169
173	neutral_36	173	167	150
174	neutral_37	520	460	626
175	neutral_37	559	463	555
176	neutral_37	122	130	199
177	neutral_37	292	313	334
178	essential_6	347	316	306
179	neutral_38	290	241	216
180	essential_6	739	630	612
181	neutral_38	197	157	215
182	neutral_38	936	818	940
183	neutral_38	293	258	282
184	essential_6	234	22	32
185	neutral_39	183	194	160
186	neutral_39	566	566	605
187	essential_6	379	136	169
188	neutral_39	1411	1480	1412
189	essential_7	98	22	24
190	neutral_39	171	191	104
191	neutral_40	67	40	78
192	neutral_40	1007	1042	1051
193	neutral_40	1106	1256	1213
194	neutral_40	253	209	303
195	neutral_41	969	1049	995
196	neutral_41	100	107	71
197	neutral_41	138	235	124
198	neutral_41	178	104	131
199	neutral_42	134	100	173
200	neutral_42	175	150	191
201	neutral_42	409	447	492
202	neutral_42	55	74	20
203	essential_7	378	117	130
204	neutral_43	70	81	79
205	neutral_43	70	48	41
206	neutral_43	558	623	552
207	essential_7	136	35	63
208	neutral_43	372	361	297
209	neutral_44	362	414	344
210	neutral_44	644	642	639
211	neutral_44	419	451	448
212	essential_7	496	115	114
213	neutral_44	413	485	371
214	neutral_45	401	403	426
215	essential_8	413	264	248
216	neutral_45	175	220	170
217	neutral_45	404	477	360
218	neutral_45	201	194	214
219	neutral_46	700	645	747
220	neutral_46	748	739	896
221	neutral_46	604	420	563
222	neutral_46	470	567	447
223	essential_8	211	22	8
224	neutral_47	222	152	262
225	neutral_47	195	237	288
226	neutral_47	332	258	355
227	neutral_47	240	320	283
228	neutral_48	379	316	459
229	neutral_48	237	216	224
230	neutral_48	365	347	355
231	neutral_48	358	334	300
232	neutral_49	178	264	166
233	neutral_49	1476	1477	1652
234	neutral_49	371	412	398
235	neutral_49	513	493	563
236	neutral_50	180	152	135
237	neutral_50	559	596	496
238	neutral_50	693	631	750
239	neutral_50	188	123	146
240	neutral_51	221	261	160
241	neutral_51	52	74	16
242	neutral_51	372	443	403
243	neutral_51	397	406	451
244	neutral_52	187	202	128
245	essential_8	159	44	114
246	neutral_52	188	170	118
247	neutral_52	423	614	403
248	neutral_52	207	244	190
249	neutral_53	486	520	462
250	neutral_53	537	513	566
251	neutral_53	429	464	471
252	neutral_53	258	184	258
253	neutral_54	635	747	684
254	neutral_54	246	258	156
255	essential_8	155	8	11
256	neutral_54	451	456	420
257	neutral_54	415	381	300
258	neutral_55	451	461	458
259	neutral_55	240	270	189
260	neutral_55	60	67	44
261	neutral_55	607	737	485
262	neutral_56	260	308	299
263	neutral_56	349	400	241
264	neutral_56	663	568	656
265	neutral_56	791	765	765
266	neutral_57	370	355	492
267	neutral_57	227	189	239
268	neutral_57	404	494	381
269	neutral_57	973	1078	969
270	neutral_58	200	180	221
271	neutral_58	402	340	344
272	neutral_58	330	327	302
273	neutral_58	639	775	562
274	neutral_59	140	65	187
275	neutral_59	279	308	240
276	neutral_59	376	328	321
277	neutral_59	382	292	409
278	neutral_60	287	237	382
279	neutral_60	1363	1407	1437
280	neutral_60	245	256	297
281	neutral_60	137	250	135
282	essential_9	531	371	493
283	essential_9	220	134	169
284	neutral_61	443	566	440
285	neutral_61	401	295	516
286	neutral_61	433	450	350
287	neutral_61	106	150	106
288	neutral_62	1242	1115	1323
289	neutral_62	390	489	415
290	neutral_62	181	163	136
291	neutral_62	258	318	297
292	neutral_63	69	81	76
293	neutral_63	157	156	145
294	essential_9	402	83	85
295	neutral_63	284	281	244
296	neutral_63	116	127	76
297	growthsupressing_0	696	1254	1288
298	neutral_64	157	186	131
299	neutral_64	50	64	49
300	neutral_64	303	330	291
301	neutral_64	1008	977	833
302	neutral_65	339	295	330
303	essential_9	144	38	11
304	neutral_65	575	596	404
305	neutral_65	398	460	330
306	essential_10	153	23	47
307	neutral_65	133	128	161
308	essential_10	89	6	21
309	neutral_66	68	50	71
310	neutral_66	182	134	168
311	essential_10	335	113	166
312	neutral_66	172	192	159
313	neutral_66	639	622	634
314	neutral_67	306	310	247
315	neutral_67	405	375	408
316	essential_10	1529	1369	1498
317	neutral_67	341	331	350
